case_id,source,sample_id,stock_code,short_name,field_id,metric_name_cn,candidate_value,candidate_unit,candidate_source_page,value_extraction_method,llm_decision,llm_confidence,negative_category,do_not_write_rule,auto_gate_policy,reason,evidence_snippet,alias_suggestion
NEG0011,deepseek_priority_review_top500,R138,,,G_Q_002,独立董事人数,104,名,37;70,text_rule,modify,0.95,correctable_but_not_negative,证据支持但需修正值或单位，应进入modify流程，不纳入硬负样本。,allow_modify_only_when_confident,证据显示董事会人数7人，独立董事占比约42.86%，计算得独立董事约3人，候选值104明显错误，可能误提取了'庆祝中国共产党成立104周年'中的数字。,"的董事人次20人次,审议了15项议案。 当年见效”,年创造经济效益达100万元,充分体现了党组织在破解生产技术瓶颈中的强大组织力和战斗力。 董事会及专门委员会 董事会是公司经营决策机构,董事由股东会选举产生,对股东负责。董事会下设审计委员会、薪酬与考核委员会、提 案例 沧州大化召开庆祝中国共产党成立104周年暨“两优一先”表彰大会 名委员会、战略委员会。各专门委员会精确分工,应用专业知识协助董事会做好决策, 确保董事会决策的准确性。 2025年,公司董事会人数为7人,其中,女性人数2人、女性董事占比约28.57%,独立董事占比约42.86%。2025 年, 沧州大化召开庆祝中国共产党成立104周年暨“两 公司共召开董事会会议9次,审议议案50项,董事出席率100%。 优一先”表彰大会 公司庆祝中国共产党成立104周年暨“两优一先” 姓名 性别 职位 年龄 学历背景 行业经验 表彰大会传达上级精神,表彰优秀共产党员、党 刘增 男 董事长 44 本科 管理 务工作者和先进基层党组织。党委书记刘增讲授 专题党课,提出“三个摆进去”要求,强调以严 张光艳 女 董事 52 硕士研究生 管理 实作风淬炼过硬作风,在安全生产、卓越运营、",
NEG0012,deepseek_priority_review_top500,R138,,,G_Q_004,女性董事人数,104,名,37;70,text_rule,modify,0.95,correctable_but_not_negative,证据支持但需修正值或单位，应进入modify流程，不纳入硬负样本。,allow_modify_only_when_confident,证据明确写明'女性人数2人'，候选值104明显错误，可能误提取了'庆祝中国共产党成立104周年'中的数字。,"开 4 次股东会,出席股东会的董事人次20人次,审议了15项议案。 当年见效”,年创造经济效益达100万元,充分体现了党组织在破解生产技术瓶颈中的强大组织力和战斗力。 董事会及专门委员会 董事会是公司经营决策机构,董事由股东会选举产生,对股东负责。董事会下设审计委员会、薪酬与考核委员会、提 案例 沧州大化召开庆祝中国共产党成立104周年暨“两优一先”表彰大会 名委员会、战略委员会。各专门委员会精确分工,应用专业知识协助董事会做好决策, 确保董事会决策的准确性。 2025年,公司董事会人数为7人,其中,女性人数2人、女性董事占比约28.57%,独立董事占比约42.86%。2025 年, 沧州大化召开庆祝中国共产党成立104周年暨“两 公司共召开董事会会议9次,审议议案50项,董事出席率100%。 优一先”表彰大会 公司庆祝中国共产党成立104周年暨“两优一先” 姓名 性别 职位 年龄 学历背景 行业经验 表彰大会传达上级精神,表彰优秀共产党员、党 刘增 男 董事长 44 本科 管理 务工作者和先进基层党组织。党委书记刘增讲授 专题党课,提出“三个摆进去”要求,强调以严 张光艳 女 董事 52 硕士研究生 管理 实作风淬炼过硬作",
NEG0013,deepseek_priority_review_top500,R011,,,G_Q_002,独立董事人数,2,,11;17;18,ocr_independent_director_rule,needs_review,0.3,ambiguous_needs_review,模型无法判定或证据存在多义性，生产流程默认不写回。,do_not_write_without_stronger_evidence,证据仅提及召开了'独立董事专门会议3次'，未明确列出独立董事人数，无法直接支持候选值'2'。,"17.118 日照港股份有限公司2025年度可持续发展报告 ESG管理 数说2025 ·召开股东会3次,董事会9次,监事会4次,各专门委员会9次,独立董事专 ·研发投入9,978万元 门会议3次 ·新增授权专利92件 ·荣获上海交易所信息披露A级评价,荣获《中国证券报》上市公司“金信披奖” ·累计授权专利700件 金牛奖 建设智慧港口 ·发布2项国家标准,4项团体标准 健全内控机制 ·以“风控在现""品牌为依托,打造10余个合规子品牌,规范业务流程300项 深化科技创新 夯实治理基础 ·获得ISO27001信息安全管理体系认证、数据安全能力成熟度（DSMM）认证 ·开展党员教育培训15期,覆盖986人次 党纪宣讲48场,2,400余人,培训时长约116小时 ·",
NEG0014,deepseek_priority_review_top500,R072,,,G_Q_002,独立董事人数,5,,7;10,ocr_independent_director_rule,reject,0.0,candidate_not_supported,证据文本未直接支持候选值，禁止写回；只能保留为no_candidate或继续召回。,auto_reject_candidate,证据仅列出治理制度名称清单，未出现关于独立董事具体人数的信息，无法支持候选值'5'。,"025年7月修订） 浙江东日股份有限公司治理细则一览表 27 浙江东日总经理工作细则 序号 名称 28 浙江东日对外捐赠管理办法 1 浙江东日股份有限公司章程（2025年第二次修订） 29 浙江东日信息披露暂缓与豁免业务内部管理 2 浙江东日董事会审计委员会工作条例（2025年7月修订） 30 浙江东日股份有限公司募集资金管理办法 3 浙江东日董事、高级管理人员绩效考核和薪酬管理办法（2025修订） 31 浙江东日投资决策管理制度（2025年12月修订） 4 浙江东日内部控制评价管理制度 32 浙江东日股份有限公司独立董事津贴管理办法 5 浙江东日重大信息内部报告制度 33 浙江东日核心员工项目跟投管理办法 6 浙江东日分红回报规划 34 浙江东日股份有限公司内部审计管理制度 7 浙江东日内幕知情人登记管理制度 8 浙江东日子公司管理制度 规范信息披露工作 9 浙江东日董事会议事规则（2025年第一次修订） 10 浙江东日股东会议事规则（2025年第一次修订） 公司严格遵循公开、公平、公正的信息披露原则,确保真实、准确、及时、完整的披露各类临时公告、定期报告, 构建公司内外部合规的信息传递机制。 11 浙江东日独立董事工作制",
NEG0015,deepseek_priority_review_top500,R147,,,S_Q_012,研发人员数量,9,,34;64,ocr_same_line_rule,reject,0.0,ocr_noise_or_layout_error,OCR噪声、错列或布局串行导致的数字不得自动写回。,require_ocr_layout_or_vision_fallback,证据文本未提及研发人员数量，仅出现技术人员的培训描述，无法支持候选值9人。,"的177名产业工人,深入中控室和生产车间 力评价体系,鼓励员工获取与工作相关的政府机构认证外部证书和职称,严格组织能力考核,实现内部取证 查看实时运行情况,叮嘱大家注意劳逸结合、确 全覆盖。积极参与兵团和师市组织的各类外出培训,10人前往北京、浙江、江苏、重庆、陕西、河北及疆 保安全生产,勉励大家再接再厉确保年度生产目 内多地交流学习。围绕降本增效、职业经理人考核管理、班组长管理、品牌建设与销售管理、研发管理、新 标任务圆满完成。 员工培训等方面,认真组织开展员工内部培训,举办专题培训班9期,培训各级管理人员、专业技术人员 1019人次,培训投入24.52万元,员工培训覆盖率100%,培训总时长约140小时。全年新增职称11名、执 63 64",
NEG0016,deepseek_priority_review_top500,R150,,,S_Q_009,因工死亡人数,9639,,16;29,ocr_same_line_rule,reject,0.0,ocr_noise_or_layout_error,OCR噪声、错列或布局串行导致的数字不得自动写回。,require_ocr_layout_or_vision_fallback,证据文本描述安全应急管理机制和隐患排查，未提及因工死亡人数，候选值9639无文本支持。,"间,重新恢复 门领导和管理人员参加 生产前,相关专业管理部 项排查。 全事故时,举一反三,及 时进行事故类比隐患专 维修过程管控,全面推进安全环保信息化管理平台建设和生态环境治理工作,安全环保各项工作有序推进。 式、规范检查标准,围绕 断装置、视频监控系统、 人员培训,对生产工艺、 特殊作业、承包商管理、 设备设施等进行复工复 安全警示标志、紧急处置 安全应急管理机制 重大事故隐患及燃气安 产前隐患排查。 方法、消防气防设施以及 全等重点领域开展专项 整治。报告期内,组织岁 员工培训等方面的危险 公司严格执行《生产安全事故应急管理制度》,围绕应急预防、监测预警、响应救援、恢复重建及应急联动等关键环节,构建了全 化学品重大危险源检查。 末年初大排查、危化品风 流程、闭环式的应急管理框架。公司成立应急组织机构,明确总指挥、副总指挥及成员职责,统筹负责应急管理工作；各所属公 险排查、“跑冒滴漏”治 司结合实际设立应急指挥部及专业应急小组,严格落实领导带班、重要岗位24小时值班和信息报告制度,确保非在岗人员通信 理、电气安全及节前专项 畅通、随时响应。公司持续修订完善应急预案,严格遵循《生产经营单位生产安全事故应急预案编制导则》（G",
NEG0017,deepseek_priority_review_top500,R154,,,S_Q_009,因工死亡人数,27,,17;28,ocr_local_window_rule,reject,0.0,wrong_metric_or_context,候选数字属于其他指标、其他上下文或口径不匹配，禁止写回目标指标。,auto_reject_candidate,证据中27项指预案数量而非因工死亡人数，指标口径不符。,"780项,整改率100%。下 发事故隐患内部报告奖励方案,鼓励公司全体员工上报各类安全隐患,积极参与到安全生产隐患排查整治工作 积极培育安全文化,通过设置安全宣传栏、悬挂安全标 中来,有效预防生产事故隐患风险 语、组织员工参加“安全辩论赛”、开展“安全论坛”、员工 家属“安全寄语”等活动,使员工本人、家属共同参与到 安全管理中,提高安全意识。开展“安全先进单位”评选, 应急管理体系 将“安全创新”及“安全小改小革”评选融入到安全文化 载体,营造“人人讲安全、事事为安全、时时想安全”的浓 厚氛围。 公司建立健全了生产安全事故应急救援体系并使其不断完善,按要求成立了应急组织机构,设置了应急救援队 伍,配足配齐了应急救援物资。一是组织对《触电事故专项预案》等27项预案进行评审和修订,重点针对大型吊 装、动火、受限空间等高危作业细化现场处置措施,提升预案针对性与可操作性。二是强化实战演练与能力提 升。全年开展触电、危化品泄漏、受限空间等关键场景应急演练33场,火灾及全员疏散等应急演练9次,覆盖 安全宣贯与培训 500余人次,有效增强员工应急响应与自救互救能力。有效增强员工应急处置和协同配合能力。三是加强专业救 急设施与物资。对全厂消",
NEG0018,deepseek_priority_review_top500,R154,,,S_Q_012,研发人员数量,7,,9;12,ocr_local_window_rule,needs_review,0.0,ambiguous_needs_review,模型无法判定或证据存在多义性，生产流程默认不写回。,do_not_write_without_stronger_evidence,证据文本列举各级科技带头人和行业标准，但未明确研发人员总数，无法确认候选值7是否匹配。,"头人2名 自治区突出贡献专家2名 中国兵器青年科技带头人3名 草原英才3名 北重集团级科技带头人9名 已发布的主持和参与制修订的 获得国家级新产品1项 中国兵器首席科学家1名 兵器科学家第三层次重点培养人员2名 国家标准39项 国家重点新产品3项 行业标准7项 中国专利优秀奖1项 团体标准29项 内蒙古专利奖银奖1项 公司建有兵器集团级、北重集团级、北方股份公司级、产品研究院级四级科技带头人培养和选拔体系,对科技人 才实行梯次化培养,同时开展了职业通道建设,开发了适应北方股份技术专业特点的职业通道评价体系,为专 业技术人员在专业发展的方向上开辟上升通道。 在科技人才选用和培养方面,通过《人力资源市场化管理手册》《科技人才发展规划》《高层次科技人才管理办 法》《退休返聘人员管理实施细则》《新入职员工师带徒实施细则》等管理制度,建立市场化选拔与考核激励机 2025年,主笔起草的《土方机械无人驾驶非公路自卸车》行业标准正式发布,该标准引领了土方机械非公路矿用车无人 制,加强外部人才引进与内部培养选拔,大力开展高层次人才创新团队和创新基地建设等措施,推进人才强企 驾驶和协同作业领域的相关标准的编制。参与起草的7项电动非公路自卸车相关",
NEG0019,deepseek_priority_review_top500,R154,,,S_Q_012,研发人员数量,3,,25;44,ocr_local_window_rule,reject,0.0,candidate_not_supported,证据文本未直接支持候选值，禁止写回；只能保留为no_candidate或继续召回。,auto_reject_candidate,证据文本提及青年人才培养和心理健康讲座，未出现研发人员数量信息，不支持候选值3。,"集团两级科技带头人在履行岗位职责、人才培养、团队建设、科技创新、解决技术难题等 方面工作内容,完善带头人的考核评价管理。 建立校企联合人才培养机制。积极参与开展“青年英才培养计划”,选拔优秀的青年科技骨干,到国内著名高校学 习先进的基础科学理论和基础科研的方式、方法,推动青年科技人才建立起跟踪、学习世界前沿科技理论的科 研工作意识,为公司科技创新奠定坚实基础。 积极组织开展专业技术职务评审和职业技能资格认定工作,本着既重视专业技术资格又不唯专业技术资格的 原则,根据公司专业技术领域实际情况,确定每个领域各级职称专业技术人员聘任职数。积极开展北方股份职 业技能鉴定工作,彻底解决“高等级,低技能""的现象,最大限度地激发实操高手的工作热情。 心理健康、维权方面 通过薪酬激励等手段鼓励员工多技能发展。制定《北方股份“多能工”激励管理办法》,建设“一岗多能”高素质复 3月14日北方股份公司工会邀请心理学 合型人才队伍。 心理健康讲题 老师范娟老师来到北方股份公司八楼会议 室举办以“缓解压力”“家庭教育”为主题的 心理健康知识讲座。 优化职业健康安全管理,确保良好的工作环境 公司积极贯彻执行国家有关职业病防治的法律、法规、政策和标准,下",
NEG0020,deepseek_priority_review_top500,R181,,,S_Q_009,因工死亡人数,0.06,,26,ocr_local_window_rule,modify,0.95,correctable_but_not_negative,证据支持但需修正值或单位，应进入modify流程，不纳入硬负样本。,allow_modify_only_when_confident,证据明确显示“员工工伤致死 数量为0”，候选值0.06为员工可记录伤害事故率指标，属于不同口径指标误匹配。,"目标； 公司的当期经营成果和现金流产生负面 通过改善职业健康与安全状况,公司可|展作业风险管控、强 员工工伤致死 中 严重 影响,具体表现为赔偿费用增加、法律 以提升员工满意度和忠诚度,进而提高 化消防安全管理等； 数量为0,员 诉讼成本上升。 生产效率和产品质量。这将对公司下一 积极配合政府各项监 工可记录伤害 长期来看,这些风险可能会对公司下一 年度的财务状况和经营成果产生积极影 督工作,接受社会公 事故率（次/ 年度的财务状况产生重大影响,特别是 响,特别是在人力资源管理和生产效率众监督。 每20万人工 如果安全事故频发或声誉受损严重。 方面。 时）≤0.06 高优先级 核心优先级 各议题具体管理措施,详见报告正文中相关章节。",
NEG0021,deepseek_priority_review_top500,R086,,,S_Q_007,员工流失率,47303,,45;50,ocr_local_window_rule,reject,0.99,index_reference_only,仅出现GRI/指标索引/披露位置/指标名称，不能视为该指标已披露具体值。,auto_reject_candidate,证据仅为GRI索引列表，提及指标401-1“员工流动率”名称，未提供任何具体数值，无法支持候选值47303。,的能源消耗量 不完整 消耗 3-3 实质性议题的管理 53-54 302-3 能源强度 39 308-1 使用环境评价维度筛选的新供应商 53 302-4 降低能源消耗量 40、43 308-2 供应链的负面环境影响以及采取的行动 53-54 302-5 降低产品和服务的能源需求量 40 社会 GRI303：水资源和污水2018 GRI401:雇佣2016 3-3 实质性议题的管理 38-39 3-3 实质性议题的管理 46-47 303-1 组织与水作为共有资源的相互影响 38-39 401-1 新进员工雇佣率和员工流动率 47 303-2 管理与排水相关的影响 39 401-2 提供给全职员工（不包括临时或兼职员工）的福利 47 303-3 取水 39 401-3 育儿假 47 303-4 排水 39 GRI403:职业健康与安全2018 303-5 耗水 39 3-3 实质性议题的管理 49-51 GRI305:排放2016 403-1 职业健康安全管理体系 49-50 3-3 实质性议题的管理 36-38 403-2 危害识别、风险评估和事故调查 49-50 305-1 直接（范围1）温室气体排放 38 403-3,
