"sample_id","stock_code","short_name","field_id","metric_name_cn","dimension","metric_type","candidate_status","value_candidate","unit_raw_candidate","unit_standardized_candidate","evidence_type_candidate","source_page","confidence_rule","precision_gate_status","rule_id","negative_category","severity","suggested_action","reason","evidence_context"
"R006","600010","包钢股份","G_Q_002","独立董事人数","G","quantitative","candidate_found","33.33","","人","native_table","44;5","0.885","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 33.33 超过保守阈值 15，高概率为其他指标或 OCR 串列。",",632 1,632 | 1,679 1,679 || table_2_row_9: 公司 治理 | 独立董事比例 | % | 45.45 | 36.36 | 33.33"
"R006","600010","包钢股份","G_Q_002","独立董事人数","G","quantitative","candidate_found","14","人","人","native_text","44;5","0.93","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","medium","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。",".33 残疾员工比例 % - 1.83 1.62 女性董事占比 % 9.09 18.18 16.67 歧视与骚扰相关事件数 起 0 0 0 董事会召开次数 次 14 14 17 反歧视、反对侵犯人权的员 董事会成员出席率 % 100 100 100 % 25 25 25 参加少于75%会议的董事 工培训比例 人 0 0 0"
"R006","600010","包钢股份","G_Q_004","女性董事人数","G","quantitative","candidate_found","16.67","","人","native_table","44;5","0.885","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。",",462 | 1,632 1,632 | 1,679 1,679 || table_2_row_10: 女性董事占比 | % | 9.09 | 18.18 | 16.67"
"R006","600010","包钢股份","G_Q_004","女性董事人数","G","quantitative","candidate_found","16.67","","人","native_table","44;5","0.885","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 16.67 超过保守阈值 15，高概率为其他指标或 OCR 串列。",",462 | 1,632 1,632 | 1,679 1,679 || table_2_row_10: 女性董事占比 | % | 9.09 | 18.18 | 16.67"
"R006","600010","包钢股份","G_Q_004","女性董事人数","G","quantitative","candidate_found","14","人","人","native_text","44;5","0.93","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","medium","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。",".33 残疾员工比例 % - 1.83 1.62 女性董事占比 % 9.09 18.18 16.67 歧视与骚扰相关事件数 起 0 0 0 董事会召开次数 次 14 14 17 反歧视、反对侵犯人权的员 董事会成员出席率 % 100 100 100 % 25 25 25 参加少于75%会议的董事 工培训比例 人 0 0 0"
"R006","600010","包钢股份","G_Q_010","腐败或违规案件数量","G","quantitative","candidate_found","176720","次","次","native_text","44;5","0.93","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 176720 超过保守阈值 100，高概率为其他指标或 OCR 串列。","6,035,979 5,732,354 4,500,000 审计委员会会议次数 次 7 10 9 发展 提名、薪酬与考核委员会会 员工培训人均时长 小时 226 225 152 与培 次 4 1 3 接受职业和技能培训员工占 议次数 训 % 100 100 100 高管中女性人数比例 % 20.00 16.67 20."
"R007","600011","华能国际","S_Q_009","因工死亡人数","S","quantitative","candidate_found","2.7","人","人","native_table","138","0.96","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","职业发展机制,员工培训类型、次 数、开展情况,以及年度培训支出金额、员工培训覆盖率等。 | 12-16 74-83 86-87 87-88 100-105 | 2.7 2025年度公司关键绩效指标表 6 强基固本,保障安全生产 7.1 维护员工合法权益 7.2 拓宽人才培养路径 9 面向国际,铸就发展典范 || 披露主体应当"
"R007","600011","华能国际","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","18","0.93","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","16 华能国际电力股份有限公司 关于我们 绩效类别 绩效指标 2025年度 2024年度 – 女性员工人均培训时长（小时） 139 127 – 管理层员工人均培训时长（小时） 141 134 – 非管理层员工人均培训时长（小时"
"R008","600012","皖通高速","G_Q_002","独立董事人数","G","quantitative","candidate_found","3","名","人","native_text","9","0.95","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","medium","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","议部署要聚焦典型案例开展警示教 育,对照问题清单全面自查自纠,通过完善制度机制推动作风建设常态化长效化,旨在营造风清气正的政治生态,以 董事会现有成员9名,包括3名执行董事、1名职工董事,2名非执行董事,以及3名独立董事,独立董事占比达33.33%,为公 新成效开创公司高质量发展新局面。 司重大决策提供客观独立的专业建议"
"R009","600015","华夏银行","G_Q_004","女性董事人数","G","quantitative","candidate_found","18.75","人","人","native_text","86;166","0.93","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","025 指标 单位 2023 2024 2025 董事数量 位 16 10 16 反洗钱内容培训次数 次 3,996 3,280 3,252 女性董事占比 % 18.75 20.00 18.75 反洗钱内容培训覆盖人次 万人次 12.73 13.16 13.75 股东会召开次数 次 1 2 3 反金融犯罪讲座和培训次数 次 42"
"R009","600015","华夏银行","G_Q_004","女性董事人数","G","quantitative","candidate_found","18.75","人","人","native_text","86;166","0.93","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 18.75 超过保守阈值 15，高概率为其他指标或 OCR 串列。","025 指标 单位 2023 2024 2025 董事数量 位 16 10 16 反洗钱内容培训次数 次 3,996 3,280 3,252 女性董事占比 % 18.75 20.00 18.75 反洗钱内容培训覆盖人次 万人次 12.73 13.16 13.75 股东会召开次数 次 1 2 3 反金融犯罪讲座和培训次数 次 42"
"R010","600016","民生银行","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","88","0.925","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","培训覆盖率 99.29 按雇员类别划分 高层管理人员 100.00 中层管理人员 99.95 普通员工 99.31 按性别分类 男性 99.09 女性 99.47 注： 1.员工平均培训时长为截至2025年末本行培训总"
"R013","600019","宝钢股份","S_Q_012","研发人员数量","S","quantitative","candidate_found","9995","人","人","native_table","92;181","0.96","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","header: 2025年 || 研发支出 | 亿元 | 195.7 | 250.44 | 199.60 || 研发投入比例 | % | 5.68 | 7.77 | 6.29 || 研发人员数量 | 人 | 8,809 | 9,995 | 8,683 || table_2_row_4: 研发人员数量 | 人 | 8,8"
"R013","600019","宝钢股份","S_Q_012","研发人员数量","S","quantitative","candidate_found","8683","人","人","native_text","92;181","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","宝山钢铁股份有限公司｜可持续发展报告 附件1 主要数据指标 产品及客户服务 供应商管理 项目 单位 2023年 2024年 2025年 项目 单位 2023年 2024年 2025年 研发支出 亿元 195.7 250.44 199.60 原料和资材备件供应商汇总 研发投入比例 % 5.68 7.77 6.29 供应商"
"R015","600021","上海电力","G_Q_002","独立董事人数","G","quantitative","candidate_found","26","人","人","native_text","38;72;73","0.588","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","5 次 审议议题 公司独立非执行董事依法履行法律法规和《公司章程》《独立董事工作规则》 公司高度重视董事及高级管理人员的薪酬管理与绩效考核工作。修订并实施《董 26 以及董事会相关专门委员会议事规则赋予的职责,以审慎负责的态度参与董事 项 事会薪酬与考核委员会实施细则》,健全薪酬与考核管理制度,为完善公司治 会及各专门委员"
"R015","600021","上海电力","G_Q_002","独立董事人数","G","quantitative","candidate_found","26","人","人","native_text","38;72;73","0.588","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 26 超过保守阈值 15，高概率为其他指标或 OCR 串列。","5 次 审议议题 公司独立非执行董事依法履行法律法规和《公司章程》《独立董事工作规则》 公司高度重视董事及高级管理人员的薪酬管理与绩效考核工作。修订并实施《董 26 以及董事会相关专门委员会议事规则赋予的职责,以审慎负责的态度参与董事 项 事会薪酬与考核委员会实施细则》,健全薪酬与考核管理制度,为完善公司治 会及各专门委员"
"R016","600022","山东钢铁","S_Q_012","研发人员数量","S","quantitative","candidate_found","2036","人","人","native_text","52;99","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","与隐私保护 安全培训投入费用 亿元 0.04 0.03 0.02 信息安全泄露事件数量 件 0 0 0 安全生产事故数 起 0 0 0 数据安全/客户隐私保护相关培训覆盖率 % 100 100 100 因工死亡人数（自有员工和劳务派遣工伤人数） 人 0 0 0 研发与创新 工伤率 % 0 0 0 研发投入 万元 285"
"R016","600022","山东钢铁","G_Q_002","独立董事人数","G","quantitative","candidate_found","100","人","人","native_text","50;95","0.85","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","者关系问卷调查 份 1 1 1 经济类绩效指标 定期公告个数 个 4 4 4 指标 单位 2023 年 2024 年 2025年 临时公告个数 个 49 80 100 营业收入 万元 9,047,506.18 8,209,409.31 6,725,282.45 在超过3家上市公司担任独立董事的独立董事数量占比 % 0 0 0"
"R016","600022","山东钢铁","G_Q_002","独立董事人数","G","quantitative","candidate_found","100","人","人","native_text","50;95","0.85","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 100 超过保守阈值 15，高概率为其他指标或 OCR 串列。","者关系问卷调查 份 1 1 1 经济类绩效指标 定期公告个数 个 4 4 4 指标 单位 2023 年 2024 年 2025年 临时公告个数 个 49 80 100 营业收入 万元 9,047,506.18 8,209,409.31 6,725,282.45 在超过3家上市公司担任独立董事的独立董事数量占比 % 0 0 0"
"R016","600022","山东钢铁","G_Q_004","女性董事人数","G","quantitative","candidate_found","11","","人","native_table","50;95","0.66","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","medium","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","| 单位 | 2023 年 | 2024 年 | 2025年 || 独立董事比例 | % | 43 | 44 | 44 || 女性董事占比 | % | 0 | 11 | 11 || 董事会召开次数 | 次 | 11 | 16 | 13 || table_4_row_3: 女性董事占比 | % | 0 | 11 | 11"
"R016","600022","山东钢铁","G_Q_004","女性董事人数","G","quantitative","candidate_found","100","名","人","native_text","50;95","0.85","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","接受反商业贿赂及反贪污培训的管理层人员百分比 % 100 100 100 每 10 股派发现金股利 元 0.3 0.11 0.08 接受反商业贿赂及反贪污培训的员工百分比 % 100 100 100 每股社会贡献值 "
"R016","600022","山东钢铁","G_Q_004","女性董事人数","G","quantitative","candidate_found","100","名","人","native_text","50;95","0.85","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 100 超过保守阈值 15，高概率为其他指标或 OCR 串列。","接受反商业贿赂及反贪污培训的管理层人员百分比 % 100 100 100 每 10 股派发现金股利 元 0.3 0.11 0.08 接受反商业贿赂及反贪污培训的员工百分比 % 100 100 100 每股社会贡献值 "
"R019","600026","中远海能","S_Q_005","人均培训时长","S","quantitative","candidate_found","4.47","人","人","native_text","51;97;98","0.93","","R_TRAINING_INVESTMENT_FOR_TRAINING_HOURS","wrong_metric_or_context","high","flag_only_validate_against_gold","人均培训时长字段疑似命中培训投入/费用，而非小时或人均小时。","元 546.40 508.11 / 按性别划分 男员工流失率 % 8.79 5.80 4.25 人均培训投入 元 6,139 5,600 / 女员工流失率 % 4.47 4.20 5.00 按性别划分 按年龄划分 受训员工中男性占比 % 68.76 69.79 71.05 25岁及以下员工流失率 % 0.00 0.00 0.0"
"R019","600026","中远海能","S_Q_012","研发人员数量","S","quantitative","candidate_found","122","人","人","native_text","22;39;40","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","制度,以及是否将反腐败要求传导至其分包 研发投入金额占主营业务收入比例 % 0.46 研发投入 商等,确保供应商行为与资质符合公司合规要求。 研发人员数量 人 122 研发人员比例 % 13.71 截至年底应用于主营业务的发明专利数量 项 11 报告期内发明专利的申请数 项 8 专利认证 报告期内发明专利的授权数 项 4 报"
"R020","600027","华电国际","S_Q_009","因工死亡人数","S","quantitative","candidate_found","2","人","人","native_text","22;42","0.95","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","公司联合地方政府部 力安全文化精品工程奖”,并被收录于《2025年度电力 门、消防救援机构及相关能源企业,在调 压站区域开展天然气场站突发事件联合应 安全文化建设精品工程典型案例》；奉节发电厂《从“ 急演练。演练模拟燃"
"R020","600027","华电国际","G_Q_002","独立董事人数","G","quantitative","candidate_found","55","人","人","native_text","43;84","0.875","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","10 10 45-49岁员工离职人数 人 4 2 董事会女性人数 人 2 2 组织构成 50-54岁员工离职人数 人 1 2 及职能 独立董事人数 人 4 4 55岁及以上员工离职人数 人 1 2 非独立董事人数 人 8 8 按地区划分员工离职人数： 召开董事会次数 次 12 13 北京 人 0 0 审计委员会会议次数 次"
"R020","600027","华电国际","G_Q_002","独立董事人数","G","quantitative","candidate_found","55","人","人","native_text","43;84","0.875","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 55 超过保守阈值 15，高概率为其他指标或 OCR 串列。","10 10 45-49岁员工离职人数 人 4 2 董事会女性人数 人 2 2 组织构成 50-54岁员工离职人数 人 1 2 及职能 独立董事人数 人 4 4 55岁及以上员工离职人数 人 1 2 非独立董事人数 人 8 8 按地区划分员工离职人数： 召开董事会次数 次 12 13 北京 人 0 0 审计委员会会议次数 次"
"R020","600027","华电国际","G_Q_004","女性董事人数","G","quantitative","candidate_found","23","","人","native_text","13;24","0.875","","R_BOARD_COUNT_RATIO_OR_RANGE","unit_or_value_type_mismatch","high","flag_only_validate_against_gold","董事人数类字段疑似命中占比、任期、章节号或异常大数，需核验是否可换算或应拦截。","告期内,本公司信贷方面无不良信用记录。 报告期内,本公司未发生债务违约。 注：本公司已于2025年修订公司章程,不再单独设立监事会,相关职权由审计委员会行使。 23 24"
"R020","600027","华电国际","G_Q_004","女性董事人数","G","quantitative","candidate_found","23","","人","native_text","13;24","0.875","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 23 超过保守阈值 15，高概率为其他指标或 OCR 串列。","告期内,本公司信贷方面无不良信用记录。 报告期内,本公司未发生债务违约。 注：本公司已于2025年修订公司章程,不再单独设立监事会,相关职权由审计委员会行使。 23 24"
"R020","600027","华电国际","G_Q_010","腐败或违规案件数量","G","quantitative","candidate_found","188","次","次","native_table","43;84","0.46","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 188 超过保守阈值 100，高概率为其他指标或 OCR 串列。","| 董事会硕士人数 | 4 || 董事会本科及以下人数 | 人 人 | 3 || table_2_row_14: 反商业贿赂及反贪污培训时长 | 次 小时 | 188"
"R023","600030","中信证券","S_Q_015","客户投诉数量","S","quantitative","candidate_found","121.39","件","件","native_text","72;140","0.93","","R_COMPLAINT_RATE_FOR_COMPLAINT_COUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","客户投诉数量字段疑似命中投诉处理率/回应率/满意度等比例口径。","每名雇员完成受训的平均时数 1,036,505 客户咨询数量 件 795,264 993,782 按性别划分 477 已接获的客户投诉数量 件 257 466 121.39 男性员工平均受训小时数 小时 119�83 123�00 448,248 开展整体客户满意度调查数量 件 271,845 308,714 121.35 女性员"
"R024","600031","三一重工","S_Q_009","因工死亡人数","S","quantitative","candidate_found","20.28","人","人","native_text","11","0.93","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","康与安全风险等）,并向管理层提供相关管理建议。 健康与安全 高 开展全覆盖安全培训与应急演练,2025年组织 机遇 成严重影响。同时,健全的HSE体 培训20.28万人次演练44次,提升全员安全 研究指导：研究、审议并指导制定公司环境、商业道德、健康安全及供应链行为准则等核 系是吸引人才、保障稳定生产的核"
"R024","600031","三一重工","S_Q_009","因工死亡人数","S","quantitative","candidate_found","100","人","人","native_text","56","0.825","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","证覆盖率 % 45.45 45.45 基层员工 % 7.19 / 职业健康安全事故 件 37 69 按员工类型划分的员工流失率 职业岗位职业健康体检覆盖率 % 100 100 生产人员 % 4.56 / 健康安全培训人次 人次 202,837 176,441 研发人员 % 12.62 / 健康安全培训总小时数 小时 365,"
"R024","600031","三一重工","S_Q_015","客户投诉数量","S","quantitative","candidate_found","810","件","件","native_text","57","0.825","","R_COMPLAINT_RATE_FOR_COMPLAINT_COUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","客户投诉数量字段疑似命中投诉处理率/回应率/满意度等比例口径。","1慈善公益 产品服务 10 社会贡献 5.3社会救援 客户满意度 % 93.0 87.8 11 创新驱动 2.1创新发展 产品及服务的投诉数量 件 1,052 810 公司业务不涉及生命科学、人工智能等科技伦理敏感领域的科学研 12 科技伦理 产品及服务的投诉处理率 % 98.4 100 究、技术开发等活动,故未回应此议题 "
"R025","600032","浙江新能","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","35","0.93","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","员军人比例 % / 1.00 1.04 每百万营收员工培训投入 % / / 10.86 残疾员工人数 人 / 2 1 职业健康与安全 职业病风险岗位员工人数 人 184 176 172 "
"R025","600032","浙江新能","S_Q_012","研发人员数量","S","quantitative","candidate_found","84","人","人","native_text","34;18","0.93","","R_RD_AMOUNT_FOR_RD_HEADCOUNT","wrong_metric_or_context","high","flag_only_validate_against_gold","研发人员数量字段疑似命中研发投入/费用/支出金额。","1081 研发投入强度 % 0.24 0.40 0.27 环境合规管理 因违反环境保护法律法规而受到的罚款总额 万元 0 0 0 研发人员数量 人 37 62 84 因违反环境保护法律法规而受到处罚的事件 件 0 0 0 研发人员占比 % 4.30 6.17 7.40 环保总投入 万元 745.25 1,604.76 1,"
"R028","600036","招商银行","S_Q_009","因工死亡人数","S","quantitative","candidate_found","0","人","人","native_text","149","0.93","","R_FATALITY_CONFUSED_WITH_SAFETY_ACTIVITY","wrong_metric_or_context","medium","flag_only_validate_against_gold","因工死亡人数字段疑似命中隐患排查、演练、事故率、安全投入或培训活动数字。","1统计口径为劳动合同制员工。 男性员工接受培训平均时长 小时 107.62 131.54 147.02 女性员工接受培训平均时长 小时 117.91 147.68 162.86 职业健康与安全 高级管理层接受培训平均时长 小时"
"R028","600036","招商银行","G_Q_010","腐败或违规案件数量","G","quantitative","candidate_found","2729","次","次","native_text","179","0.93","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 2729 超过保守阈值 100，高概率为其他指标或 OCR 串列。","招商银行股份有限公司 2025 年度可持续发展报告 环境篇 社会篇 治理篇 公司治理 金金融融风风险险管管理理 商商业业道道德德 治治理理关关键键绩绩效效 员工行为管理 洗钱风险管理 指标名称 单位 2023 2024 2025 指标名称 单位 2023 2024 2025 处分违规行为员工数 人 678 1,057 "
"R031","600039","四川路桥","G_Q_010","腐败或违规案件数量","G","quantitative","candidate_found","12388","次","次","native_table","47","0.71","","R_SMALL_COUNT_IMPLAUSIBLE_RANGE","wrong_metric_or_context","high","flag_only_validate_against_gold","小计数字段候选值 12388 超过保守阈值 100，高概率为其他指标或 OCR 串列。","渠道的公告》,充分利用举报电话、群众监督、信访接待等多种方式,鼓励内部及外部利益 相关方举报可疑行为、反映问题及提出建议。 风险管理流程 http://www.12388.gov.cn/ 公司依据《关于加强廉洁风险管控的实施方案》,围绕思想道德、制度机制、岗位职责业务流程、外部环境五大范围, 举报网址： 12388 针对“三重一"
