field_id,dimension,subtopic_cn,metric_name_cn,metric_name_en,metric_type,value_type,definition,unit_normalized,units_accepted_raw,valid_range,aliases_cn,aliases_en,expected_evidence_type,materiality_default,standard_anchor,rating_logic_reference,extraction_priority,status_values,annotation_note,extractor_version,schema_version,rating_polarity,scoring_role,materiality_weight_default,applicability_rule,disclosure_gap_policy,scope_priority,evidence_priority,review_risk_level,normalization_hint,indicator_layer,primary_indicator_id,rating_role,applicable_industries,materiality_model,alternative_status_policy,scoring_denominator_policy,extraction_group,financial_rating_reference,v03_change_note
E_Q_011,E,水资源,废水排放量,Wastewater discharge,quantitative,number,报告期内废水排放总量。,m3,吨;立方米;m3;万吨;万立方米,>=0,废水排放量;污水排放量;排水量,wastewater discharge;effluent discharge,native_table;mixed,中,GRI 303;GRI 306,污染防治和水管理的重要结果指标。,P1,disclosed;not_disclosed;not_found;not_applicable,区分处理量、排放量和循环量。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,E_Q_009,performance,生产制造、化工、造纸、环保、公用事业优先,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,environment_operations,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_012,E,废弃物,废弃物产生总量,Total waste generated,quantitative,number,报告期内产生的废弃物总量。,t,吨;t;kg;万吨,>=0,废弃物总量;废弃物产生量;固体废物,total waste;waste generated,native_table;mixed,高,上交所/深交所可持续发展报告指引;GRI 306,废弃物管理对工业企业重要。,P0,disclosed;not_disclosed;not_found;not_applicable,避免把处置量和产生量混淆。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,废弃物产生/排放总量 > 无害废弃物总量+有害废弃物总量 > 单项废弃物,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,可按营业收入、员工数或产量做行业内强度标准化；抽取层先保留原始总量。,core,,exposure,全行业；按行业实质性调整权重,cross_industry_core,"primary_indicator; if missing, check explicit not_disclosed and alternative indicators",include_when_applicable,environment_operations,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_013,E,废弃物,危险废弃物产生量,Hazardous waste generated,quantitative,number,报告期内产生的危险废弃物总量。,t,吨;t;kg;万吨,>=0,危险废弃物;危废产生量;有害废弃物,hazardous waste,native_table;mixed,高,GRI 306;HKEX ESG Guide A1,对材料、化工、医药、制造行业具有较高重要性。,P0,disclosed;not_disclosed;not_found;not_applicable,注意有些报告仅披露合规处置量。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,3,适用于存在危险废物、污染物排放或生产运营环境影响的企业；金融/轻资产企业可标记不适用或仅定性披露。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,危险废弃物产生/排放总量 > 危险办公耗材/危废处置量 > 危险废物管理制度描述,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,,exposure,生产制造、化工、医药、电子、造纸、环保等存在危废企业,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,environment_operations,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_014,E,废弃物,一般废弃物产生量,Non-hazardous waste generated,quantitative,number,报告期内产生的一般或非危险废弃物总量。,t,吨;t;kg;万吨,>=0,一般废弃物;非危险废弃物;无害废弃物,non-hazardous waste,native_table;mixed,中,GRI 306;HKEX ESG Guide A1,反映资源和污染管理。,P1,disclosed;not_disclosed;not_found;not_applicable,若只披露生活垃圾，应标注具体口径。,indicator_schema_v0.1,v0.3,lower_is_better,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,E_Q_012,performance,全行业；按行业实质性调整权重,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,environment_operations,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_015,E,环境投入,环保投入金额,Environmental investment,quantitative,currency,报告期内用于环保、节能减排、污染治理等投入金额。,CNY,元;万元;亿元;人民币,>=0,环保投入;环境保护投入;节能环保投入;环保费用,environmental investment;environmental expenditure,native_table;text,中,上交所/深交所可持续发展报告指引,用于衡量环境管理投入，不等同于管理效果。,P0,disclosed;not_disclosed;not_found;not_applicable,注意资本性支出、费用性支出和公益投入的差异。,indicator_schema_v0.1,v0.3,contextual_disclosure,investment_or_contribution,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,not_disclosed_requires_review; score_transparency_penalty_if_applicable,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,high,统一到万元；评分时可结合营业收入或利润规模标准化。,core,,performance,全行业；按行业实质性调整权重,cross_industry_core,"primary_indicator; if missing, check explicit not_disclosed and alternative indicators",include_when_applicable,other,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_016,E,污染物,主要污染物排放量,Major pollutant emissions,quantitative,number,二氧化硫、氮氧化物、颗粒物、COD等主要污染物排放。,t,吨;t;kg;毫克/立方米,>=0,主要污染物;SO2;NOx;COD;氨氮;颗粒物,major pollutants;SO2;NOx;COD,native_table;text,中,上交所/深交所可持续发展报告指引;HKEX ESG Guide A1,污染排放对重污染行业重要。,P1,disclosed;not_disclosed;not_found;not_applicable,该字段可拆为子污染物，首版可先保留原文和值。,indicator_schema_v0.1,v0.3,higher_is_better,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,,performance,工业、能源、交通、环保、原材料行业优先,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,environment_operations,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_017,E,绿色业务,绿色金融或绿色业务规模,Green finance/business volume,quantitative,currency,绿色贷款、绿色债券、绿色投资或绿色产品收入等规模。,CNY,元;万元;亿元;人民币,>=0,绿色贷款;绿色金融;绿色债券;绿色收入;绿色业务,green finance;green revenue;green loans,native_table;text,行业相关,上交所/深交所可持续发展报告指引;ISSB sustainability-related opportunities,金融、能源、制造企业可作为机会类指标。,P1,disclosed;not_disclosed;not_found;not_applicable,行业差异较大，需记录具体口径。,indicator_schema_v0.1,v0.3,contextual_disclosure,investment_or_contribution,1,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,,opportunity,金融机构、能源转型、环保业务、绿色产品业务适用,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,other,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_018,E,气候与排放,减排量,Emissions reduced/avoided,quantitative,number,报告期内通过节能减排项目实现的温室气体减排量。,tCO2e,吨二氧化碳当量;tCO2e;万吨,>=0,减排量;碳减排;减少碳排放,emissions reduced;avoided emissions,native_table;text,中,IFRS S2;GRI 305,反映转型行动，但需防止与总排放抵扣混淆。,P1,disclosed;not_disclosed;not_found;not_applicable,区分实际减排、避免排放和碳抵消。,indicator_schema_v0.1,v0.3,contextual_disclosure,absolute_performance,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,alternative,E_Q_001,opportunity,全行业；按行业实质性调整权重,common_optional,"alternative_to:E_Q_001; record as alternative_disclosed, do not overwrite primary indicator",exclude_from_primary_denominator; count in alternative_disclosure_coverage,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_019,E,气候与排放,碳资产或碳配额交易量,Carbon allowance/credit trading volume,quantitative,number,报告期内碳配额、碳信用或碳资产交易数量。,tCO2e,吨;tCO2e;万元,>=0,碳配额;碳交易;碳资产;CCER,carbon allowances;carbon credits;carbon trading,native_table;text,行业相关,中国碳市场相关披露;IFRS S2,高碳行业和电力行业相关。,P2,disclosed;not_disclosed;not_found;not_applicable,可能以金额或数量披露，需保留原单位。,indicator_schema_v0.1,v0.3,contextual_disclosure,absolute_performance,1,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,E_Q_001,opportunity,纳入碳市场或参与碳交易企业适用,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_Q_020,E,气候与排放,气候相关资本投入,Climate-related capital deployment,quantitative,currency,用于低碳转型、节能减排、气候适应等项目的资本投入。,CNY,元;万元;亿元;人民币,>=0,低碳投入;气候投入;转型投资;节能项目投资,climate-related capex;capital deployment,native_table;text,中,IFRS S2,反映转型计划的资源配置。,P2,disclosed;not_disclosed;not_found;not_applicable,首版作为增强字段，证据不足时不强行抽取。,indicator_schema_v0.1,v0.3,contextual_disclosure,investment_or_contribution,2,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,optional_or_industry_specific; do_not_penalize_without_applicability_evidence,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,native_table > structured_text_table > narrative_exact_value > chart_or_image > manual_review,low,保留标准化单位；评分阶段再做行业分位数或阈值标准化。,industry_specific,E_Q_001,opportunity,高气候风险或高转型投入行业适用,industry_materiality_adjusted,enable only when industry/business boundary is applicable,exclude_from_cross_industry_denominator_unless_applicable,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
E_T_001,E,气候治理,气候变化战略,Climate strategy,qualitative,text_span,企业关于应对气候变化、低碳转型或绿色发展的战略表述。,,,,气候战略;低碳战略;绿色发展战略;双碳战略,climate strategy;low-carbon strategy,native_text,高,上交所/深交所可持续发展报告指引;IFRS S2,评级通常关注战略可信度和管理措施。,P0,disclosed;not_disclosed;not_found;not_applicable,需要包含战略方向或行动路径，避免只截取口号。,indicator_schema_v0.1,v0.3,presence_maturity,management_presence,3,默认适用于全部上市公司；若报告明确说明边界不适用，可进入适用性复核。,qualitative_absence_requires_review; score_transparency_penalty_if_material,公司整体/合并范围 > 母公司/总部 > 园区/项目/案例；同一口径优先取报告期最新年度。,policy_section > governance_section > management_practice > case_study > index_or_toc,medium,定性项按存在性、制度完整度、目标/责任/绩效闭环分级。,qualitative_support,,management,全行业；按行业实质性调整权重,cross_industry_core,qualitative_support; use for management maturity and evidence explanation,include_in_management_maturity_denominator_when_material,climate_emissions,借鉴MSCI行业实质性、Sustainalytics风险暴露-管理能力、S&P CSA同业比较、FTSE支柱-主题-指标模型；不复制专有权重。,新增主指标/组件/替代/行业适配/评级角色字段，用于区分报告披露适配与ESG评价口径。
